# This file has been generated by fmt_fig4.py
#
#
# solar_time: [h] time of measurement
# co2: [µll-1] CO2 concentration in the atmosphere
# pfd: [µmol photon.m-2.s-1] irradiance
# tca_XX: [µmol CO2.plant-1.s-1] total amount of carbon assimilated by plant (azimuth XX)
# tce_XX: [mmol H2O.plant-1.s-1] total amount of transpiration by plant (azimuth XX)
# vpd: [kPa] vapor pressure deficit
# wue_XX: [µmol CO2.mmol H2O-1] water use efficiency (azimuth XX)
#
solar_time;co2;pfd;tca_ew;tca_ns;tce_ew;tce_ns;vpd;wue_ew;wue_ns
11.20;330.92;1629.31;22.48;23.33;4.67;4.67;1.99;4.78;5.99
11.40;330.61;1648.43;22.06;23.75;4.38;4.88;2.05;4.51;5.56
11.60;330.29;1667.55;21.71;23.32;4.09;4.05;2.22;5.10;6.91
11.80;329.98;1682.58;21.66;23.61;4.25;3.83;2.39;5.14;7.56
12.00;329.67;1679.92;22.20;23.35;4.29;3.31;2.55;5.47;9.38
12.20;329.35;1692.03;22.22;23.58;4.54;3.83;2.57;5.41;7.59
12.40;329.04;1686.43;22.17;23.51;3.90;3.74;2.59;5.62;7.54
12.60;328.72;1664.84;21.89;23.33;3.85;4.81;2.61;4.65;5.88
12.80;328.21;1646.17;21.89;23.09;3.79;4.48;2.63;5.32;6.32
13.00;327.68;1633.14;20.82;22.30;3.90;4.88;2.66;4.48;5.48
13.20;327.23;1617.39;21.32;23.18;4.11;4.57;2.72;5.19;6.23
13.40;326.83;1588.77;21.09;22.26;3.91;4.70;2.78;4.69;5.69
13.60;326.44;1565.50;21.63;23.07;3.70;4.94;2.83;5.05;5.57
13.80;326.05;1496.29;21.57;22.99;3.62;5.01;2.85;5.55;5.62
14.00;325.66;1487.18;20.65;22.64;4.40;5.98;2.77;5.79;4.39
14.20;325.27;1491.07;20.91;22.55;3.79;6.16;2.93;5.85;4.23
14.40;324.88;1444.73;20.88;22.25;3.10;6.24;2.78;6.36;4.24
14.60;324.49;1398.38;20.65;22.09;4.23;7.05;2.62;4.93;3.61
14.80;324.26;1352.04;20.64;21.87;3.77;6.89;2.89;5.44;3.60
15.00;324.03;1305.69;20.39;22.00;3.15;6.62;2.94;6.29;3.83
15.20;323.80;1259.35;20.11;22.00;2.97;6.47;2.98;6.66;3.83
15.40;323.57;1191.42;21.20;22.89;3.07;6.63;2.97;7.02;3.92
15.60;323.33;1178.22;21.12;22.25;2.67;6.19;2.82;7.66;4.00
15.80;323.10;1136.76;20.37;21.78;3.03;7.21;2.70;6.78;3.47
16.00;322.87;1110.43;20.87;22.50;2.36;6.51;2.81;8.70;3.98
16.20;322.49;1032.73;20.83;23.39;1.96;5.34;2.93;11.02;5.47
16.40;322.07;928.42;20.61;23.41;2.81;6.28;2.58;6.96;4.50
16.60;321.65;1041.52;21.11;23.13;2.93;7.06;2.85;7.21;3.72
16.80;321.23;981.38;20.70;22.80;2.52;6.82;2.74;7.80;3.76
17.00;320.80;891.10;20.30;22.09;2.59;6.34;2.63;10.72;4.54
17.20;320.38;776.48;19.00;21.83;1.42;4.87;2.52;13.18;5.56
17.40;319.96;661.87;19.31;22.77;1.91;5.02;2.41;9.75;5.37
17.60;320.18;572.51;17.54;20.06;0.90;3.65;2.36;13.74;7.25
17.80;320.55;494.28;16.57;19.48;1.02;3.41;2.35;13.95;7.48
18.00;320.92;416.05;15.41;18.15;1.16;3.29;2.26;11.24;8.34
18.20;321.29;348.01;14.21;16.56;0.43;2.16;1.98;11.24;13.27
18.40;322.40;287.82;12.31;14.64;0.32;1.74;1.80;11.24;13.35
18.60;325.38;227.63;10.94;12.81;0.05;1.40;1.68;11.24;13.35
18.80;327.31;174.77;9.06;10.56;-0.02;0.81;1.56;11.24;13.35
19.00;327.96;127.51;6.24;6.87;-0.55;-0.40;1.44;11.24;13.35
19.20;337.16;80.24;0.80;2.67;-0.59;-0.81;1.28;11.24;13.35
19.40;344.12;54.90;0.82;1.20;-0.59;-0.90;1.07;11.24;13.35
19.60;347.61;43.34;0.69;0.48;-0.59;-1.03;1.05;11.24;13.35
19.80;357.29;31.79;-0.47;3.28;-0.59;-1.31;1.02;11.24;13.35
20.00;357.29;22.26;-0.71;3.54;-0.59;-1.35;1.01;11.24;13.35
