# This file has been generated by fmt_fig4.py
#
#
# doy: [-] day of year
# photo: [g C.day-1] simulated whole plant photosynthesis
# cpt_dm: [g DM] amount of dry mass in compartment cpt
# cpt_growth_demand: [g DM.day-1] amount of carbon asked for growth for compartment cpt
#
doy;fruit_dm;fruit_growth_demand;leafy_shoot_dm;leafy_shoot_growth_demand;photo;root_dm;root_growth_demand;wood_dm;wood_growth_demand
167;702.08;11.60;1876.08;0.08;40.40;754.75;1.69;1303.47;6.39
168;723.19;12.42;1875.39;0.08;40.67;758.18;1.64;1314.68;6.50
169;744.30;13.24;1874.71;0.08;39.93;761.28;1.59;1325.89;6.92
170;765.89;13.37;1874.03;0.08;40.57;763.74;1.51;1337.20;7.66
171;787.91;11.38;1873.35;0.07;40.13;766.19;1.34;1348.71;6.89
172;809.94;11.44;1872.67;0.07;39.83;768.64;1.17;1360.22;7.02
173;831.96;13.78;1871.99;0.07;42.32;771.10;1.62;1371.73;8.97
174;853.98;16.76;1871.31;0.07;43.80;773.55;1.58;1383.24;10.57
175;876.01;14.09;1870.62;0.07;41.82;775.86;1.54;1394.90;8.93
176;896.96;14.31;1869.94;0.07;40.73;777.70;1.50;1406.72;9.29
177;917.69;14.47;1869.26;0.07;38.70;779.54;1.47;1418.54;9.28
178;938.43;14.01;1868.58;0.07;41.38;781.38;1.43;1430.36;8.79
179;959.17;16.18;1867.90;0.06;44.06;783.22;1.61;1442.25;10.70
180;979.90;16.22;1867.22;0.06;42.49;785.06;1.85;1454.49;10.70
181;1000.64;17.34;1866.28;0.06;44.11;786.82;2.00;1466.72;11.94
182;1021.38;16.07;1865.19;0.06;38.10;788.25;1.96;1478.95;11.13
183;1041.92;16.09;1864.10;0.06;41.80;789.69;1.91;1491.96;10.73
184;1061.99;16.01;1863.00;0.06;43.25;791.13;1.87;1505.09;10.62
185;1082.07;15.93;1861.91;0.06;44.69;792.56;1.82;1520.77;11.09
186;1102.14;15.85;1860.81;0.05;46.13;794.00;1.77;1536.81;11.33
187;1122.21;15.36;1859.72;0.05;43.17;795.25;1.73;1553.29;11.37
188;1142.29;15.68;1858.62;0.05;43.43;796.44;1.68;1570.12;12.09
189;1162.36;16.60;1857.53;0.05;42.30;797.63;1.64;1586.95;11.40
190;1182.43;17.19;1856.44;0.05;44.35;798.82;1.68;1603.78;12.58
191;1202.51;16.99;1855.34;0.05;44.48;799.99;1.78;1620.72;13.14
192;1222.58;17.14;1854.25;0.05;44.10;801.12;1.87;1637.81;12.89
193;1242.65;18.30;1853.15;0.05;49.57;802.26;1.97;1654.89;14.62
194;1262.73;14.26;1852.06;0.04;39.11;803.40;1.94;1671.98;11.35
195;1282.80;15.15;1850.97;0.04;42.53;804.54;1.80;1689.07;12.11
196;1302.64;13.33;1849.87;0.04;44.33;805.68;1.69;1706.18;10.97
197;1322.35;13.55;1848.78;0.04;46.13;806.82;1.69;1723.39;13.61
198;1342.06;16.09;1847.68;0.04;47.76;807.94;1.69;1740.60;16.26
199;1361.77;17.15;1846.59;0.04;46.89;809.02;1.69;1757.82;14.75
200;1381.48;13.89;1845.50;0.04;41.92;810.10;1.76;1775.03;12.56
201;1401.19;14.95;1844.40;0.04;42.14;811.18;1.98;1792.24;13.50
202;1420.90;16.02;1843.31;0.03;43.23;812.26;2.19;1809.49;14.93
203;1440.61;17.14;1842.21;0.03;48.71;813.34;2.40;1826.78;16.35
204;1460.32;18.48;1841.12;0.03;55.05;814.43;2.61;1844.06;17.78
205;1480.03;20.60;1839.71;0.03;53.85;815.51;2.69;1861.35;19.20
206;1499.74;19.79;1837.19;0.03;51.94;816.57;2.55;1878.64;19.65
207;1519.45;17.92;1834.66;0.03;46.34;817.64;2.41;1895.93;18.56
208;1539.16;17.34;1832.14;0.03;43.65;818.70;2.28;1913.26;17.47
209;1558.31;16.76;1829.62;0.02;44.29;819.76;2.28;1930.60;16.94
210;1577.29;18.15;1827.09;0.02;50.88;820.83;2.28;1947.93;18.23
211;1596.26;17.85;1824.57;0.02;48.57;821.89;2.28;1965.27;18.22
212;1615.24;17.55;1822.05;0.02;42.74;822.95;2.05;1982.61;18.34
213;1634.21;14.78;1819.53;0.02;43.06;824.01;1.74;1999.99;14.12
214;1653.19;10.23;1817.00;0.02;36.54;825.08;1.65;2017.36;10.61
215;1672.16;12.62;1814.48;0.02;32.73;826.14;1.89;2034.73;14.19
216;1691.14;15.57;1811.96;0.02;44.31;827.19;2.12;2052.13;17.78
217;1709.03;18.13;1809.43;0.01;50.49;828.25;2.22;2071.28;20.83
218;1725.93;17.25;1806.91;0.01;48.56;829.30;2.23;2092.03;19.18
219;1742.82;17.08;1804.39;0.01;48.59;830.36;2.24;2112.79;20.10
220;1759.72;16.56;1801.87;0.01;48.38;831.41;2.25;2133.54;19.95
221;1776.62;15.24;1799.34;0.01;45.98;832.46;2.26;2154.29;18.18
222;1793.52;17.51;1796.82;0.01;43.58;833.52;2.27;2175.05;21.37
223;1810.42;16.88;1794.30;0.01;41.24;834.57;2.28;2195.80;20.70
224;1826.90;16.26;1791.77;0.00;42.06;835.63;2.72;2216.55;22.52
225;1843.11;19.04;1789.25;0.00;47.30;836.68;2.79;2238.87;24.45
226;1859.33;17.13;1786.85;0.00;44.64;837.73;2.33;2261.55;23.16
227;1875.55;15.22;1786.14;0.00;43.19;838.78;2.34;2284.23;21.06
228;1891.77;18.09;1785.44;0.00;43.39;839.83;2.86;2306.91;25.51
229;1907.99;18.47;1784.73;0.00;46.08;840.88;2.84;2329.59;24.41
230;1924.20;18.07;1784.03;0.00;40.67;841.93;2.81;2352.28;24.64
231;1940.42;19.04;1783.32;0.00;54.21;842.98;2.78;2376.77;25.67
232;1956.64;18.75;1782.62;0.00;56.32;844.03;2.76;2404.81;26.19
233;1972.86;18.18;1781.91;0.00;49.12;845.08;2.73;2432.85;25.69
234;1988.73;17.96;1781.21;0.00;48.47;846.12;2.70;2460.89;26.24
235;2004.06;17.57;1780.50;0.00;51.60;847.17;2.66;2488.93;25.83
236;2019.39;16.10;1779.80;0.00;48.78;848.22;2.56;2516.96;23.47
237;2034.72;14.63;1779.09;0.00;52.55;849.27;2.45;2545.00;24.04
238;2050.04;13.22;1778.38;0.00;48.96;850.31;2.35;2573.04;21.40
239;2065.37;14.60;1777.68;0.00;49.50;851.36;2.14;2601.08;23.79
240;2080.70;14.89;1776.97;0.00;48.29;852.40;1.74;2629.12;19.67
241;2096.03;10.71;1776.27;0.00;45.37;853.45;1.36;2657.16;16.89
242;2111.35;11.40;1775.56;0.00;43.64;854.50;1.59;2685.19;19.51
243;2126.68;12.85;1774.86;0.00;40.56;855.54;1.82;2713.23;22.13
244;2142.01;14.12;1774.15;0.00;43.35;856.59;2.05;2741.27;24.66
245;2156.10;14.77;1773.45;0.00;43.10;857.63;2.28;2769.31;25.31
246;2169.47;16.34;1772.74;0.00;45.44;858.67;2.27;2797.35;28.31
247;2182.85;15.33;1772.04;0.00;37.57;859.72;2.16;2825.39;24.70
248;2196.22;13.06;1771.33;0.00;43.01;860.76;2.04;2853.43;22.70
249;2209.59;12.20;1770.63;0.00;43.77;861.80;1.93;2881.46;21.48
250;2222.96;11.93;1769.92;0.00;27.49;862.85;1.99;2909.50;20.26
251;2236.33;13.62;1769.21;0.00;40.65;863.89;2.18;2937.54;26.61
252;2249.71;13.19;1768.51;0.00;42.38;864.93;2.29;2965.58;24.62
253;2260.54;13.99;1767.80;0.00;40.31;865.97;1.88;2974.34;26.13
