# This file has been generated by fmt_fig5.py
#
#
# hour: [-] time during the day
# an_DD: [µmol CO2.m-2.s-1] net photosynthesis at day DD
# gs_DD: [µmol CO2.m-2.s-1] gs_CO2 at day DD
# ci_frac_DD: [-] ratio ci/cs at day DD
# le_DD: [W.m-2] latent heat at day DD
#
hour;an_01;an_10;an_13;an_16;ci_frac_01;ci_frac_10;ci_frac_13;ci_frac_16;gs_01;gs_10;gs_13;gs_16;le_01;le_10;le_13;le_16
8.500;26.650;26.703;26.743;26.164;0.702;0.699;0.698;0.677;0.280;0.278;0.276;0.240;144.490;139.710;139.607;139.031
8.667;27.388;27.429;27.489;26.333;0.702;0.700;0.698;0.661;0.288;0.287;0.284;0.225;153.831;149.816;149.474;138.504
8.833;28.054;28.028;28.170;26.212;0.702;0.700;0.697;0.638;0.296;0.295;0.291;0.208;163.112;159.703;159.203;136.817
9.000;28.665;28.627;28.774;25.855;0.703;0.700;0.696;0.607;0.303;0.303;0.297;0.190;172.032;169.485;168.467;134.986
9.167;29.275;29.226;29.361;25.324;0.703;0.700;0.694;0.570;0.309;0.309;0.302;0.174;180.952;178.807;177.511;133.158
9.333;29.846;29.726;29.808;24.673;0.703;0.700;0.692;0.534;0.316;0.315;0.305;0.160;189.603;188.040;185.648;131.391
9.500;30.325;30.193;30.255;23.948;0.703;0.700;0.690;0.503;0.322;0.321;0.307;0.148;197.796;196.561;193.575;129.700
9.667;30.804;30.660;30.579;23.183;0.703;0.700;0.686;0.476;0.327;0.326;0.308;0.137;205.989;205.033;200.102;128.080
9.833;31.283;31.095;30.854;22.404;0.703;0.699;0.683;0.453;0.332;0.331;0.307;0.126;213.636;212.609;206.236;126.543
10.000;31.649;31.431;31.073;21.626;0.703;0.698;0.678;0.435;0.337;0.334;0.303;0.118;220.821;220.180;210.969;125.109
10.167;31.994;31.766;31.160;20.874;0.702;0.698;0.673;0.419;0.341;0.337;0.298;0.110;228.006;227.034;214.869;123.714
10.333;32.340;32.101;31.248;20.155;0.702;0.697;0.666;0.406;0.344;0.340;0.291;0.104;234.373;233.491;217.506;122.447
10.500;32.657;32.368;31.213;19.462;0.702;0.696;0.657;0.394;0.348;0.341;0.282;0.097;240.299;239.519;219.276;121.209
10.667;32.867;32.572;31.082;18.829;0.701;0.695;0.644;0.385;0.350;0.343;0.272;0.092;246.225;245.013;219.568;120.085
10.833;33.078;32.776;30.846;18.237;0.701;0.694;0.630;0.376;0.353;0.344;0.261;0.088;251.142;249.997;219.321;118.978
11.000;33.288;32.980;30.480;17.684;0.700;0.693;0.617;0.370;0.355;0.344;0.250;0.084;255.590;254.461;218.680;117.999
11.167;33.447;33.112;30.023;17.203;0.700;0.692;0.604;0.364;0.357;0.344;0.240;0.080;260.038;258.360;217.807;117.020
11.333;33.520;33.185;29.520;16.741;0.700;0.691;0.592;0.358;0.358;0.344;0.229;0.077;263.441;261.621;216.758;116.163
11.500;33.594;33.259;29.032;16.367;0.699;0.691;0.581;0.354;0.359;0.344;0.220;0.075;266.226;264.299;215.575;115.329
11.667;33.667;33.332;28.595;16.002;0.699;0.690;0.571;0.351;0.360;0.344;0.211;0.073;269.012;266.381;214.289;114.547
11.833;33.697;33.364;28.222;15.727;0.699;0.689;0.562;0.347;0.360;0.344;0.204;0.071;270.930;267.853;212.923;113.857
12.000;33.642;33.313;27.909;15.463;0.699;0.689;0.555;0.345;0.361;0.343;0.198;0.070;271.903;268.636;211.497;113.168
12.167;33.586;33.261;27.649;15.274;0.699;0.689;0.550;0.343;0.360;0.343;0.193;0.069;272.875;268.617;210.025;112.572
12.333;33.531;33.210;27.453;15.113;0.699;0.689;0.545;0.342;0.360;0.342;0.190;0.069;273.432;267.794;208.523;112.029
12.500;33.475;33.159;27.293;14.994;0.699;0.689;0.543;0.341;0.359;0.341;0.187;0.068;272.505;266.971;207.000;111.585
12.667;33.371;33.056;27.158;14.935;0.699;0.690;0.541;0.340;0.358;0.340;0.186;0.068;271.578;266.148;205.470;111.160
12.833;33.191;32.880;27.073;14.875;0.699;0.690;0.541;0.340;0.357;0.339;0.186;0.068;270.651;264.130;203.970;110.784
13.000;33.011;32.704;26.995;14.903;0.699;0.691;0.542;0.341;0.355;0.338;0.187;0.069;267.911;261.639;202.549;110.422
13.167;32.830;32.529;26.963;14.967;0.700;0.692;0.544;0.342;0.353;0.336;0.187;0.069;265.150;259.147;201.204;110.088
13.333;32.650;32.353;26.931;15.081;0.700;0.693;0.547;0.342;0.351;0.335;0.189;0.070;262.390;256.165;199.912;109.761
13.500;32.372;32.074;26.934;15.253;0.701;0.693;0.552;0.345;0.349;0.333;0.191;0.071;258.182;252.092;198.650;109.449
13.667;32.064;31.771;26.982;15.456;0.701;0.694;0.557;0.348;0.346;0.331;0.193;0.072;253.736;248.019;197.394;109.138
13.833;31.756;31.469;27.080;15.704;0.702;0.696;0.564;0.351;0.343;0.329;0.197;0.074;249.290;243.859;196.123;108.831
14.000;31.449;31.166;27.210;15.994;0.702;0.697;0.571;0.354;0.340;0.326;0.201;0.076;243.589;238.317;194.811;108.522
14.167;31.080;30.796;27.328;16.310;0.703;0.698;0.580;0.360;0.336;0.324;0.206;0.078;237.626;232.775;193.426;108.204
14.333;30.643;30.364;27.411;16.655;0.704;0.699;0.590;0.365;0.332;0.321;0.212;0.080;231.662;227.233;191.928;107.886
14.500;30.205;29.932;27.462;17.033;0.704;0.700;0.600;0.372;0.327;0.318;0.219;0.083;224.516;220.425;190.263;107.541
14.667;29.768;29.501;27.488;17.429;0.705;0.701;0.612;0.380;0.321;0.314;0.227;0.086;217.223;213.556;188.354;107.195
14.833;29.267;28.998;27.412;17.839;0.705;0.701;0.626;0.389;0.314;0.309;0.236;0.090;209.880;206.686;185.961;106.808
15.000;28.697;28.435;27.302;18.263;0.705;0.702;0.639;0.400;0.306;0.303;0.245;0.094;201.468;198.678;182.790;106.416
15.167;28.127;27.872;26.985;18.690;0.706;0.703;0.652;0.412;0.298;0.296;0.252;0.099;193.056;190.654;177.732;105.963
15.333;27.557;27.309;26.635;19.113;0.706;0.703;0.664;0.426;0.290;0.288;0.256;0.104;184.389;182.490;172.102;105.502
15.500;26.881;26.632;26.142;19.523;0.706;0.703;0.674;0.443;0.282;0.280;0.258;0.110;175.095;173.520;165.269;104.945
15.667;26.176;25.935;25.603;19.905;0.706;0.703;0.683;0.462;0.273;0.271;0.257;0.117;165.800;164.550;157.908;104.359
15.833;25.471;25.239;24.958;20.242;0.706;0.703;0.690;0.484;0.264;0.263;0.254;0.125;156.120;155.278;150.008;103.653
16.000;24.713;24.480;24.263;20.506;0.705;0.703;0.695;0.510;0.255;0.254;0.248;0.133;146.205;145.608;141.267;102.825
16.167;23.872;23.649;23.487;20.654;0.705;0.702;0.697;0.539;0.245;0.245;0.241;0.143;136.277;135.939;132.199;101.850
16.333;23.030;22.817;22.658;20.606;0.705;0.702;0.698;0.571;0.236;0.235;0.233;0.154;126.032;125.928;122.784;100.581
16.500;22.150;21.938;21.765;20.364;0.704;0.701;0.698;0.603;0.225;0.226;0.224;0.167;115.786;115.846;112.958;98.612
16.667;21.170;20.970;20.817;19.926;0.703;0.701;0.697;0.633;0.215;0.216;0.214;0.178;105.536;105.736;103.027;94.440
16.833;20.191;20.003;19.818;19.307;0.702;0.700;0.697;0.657;0.204;0.205;0.203;0.181;95.281;95.571;92.998;89.097
17.000;19.148;18.964;18.761;18.524;0.702;0.699;0.697;0.674;0.193;0.194;0.191;0.177;85.066;85.405;83.016;83.006
17.167;18.030;17.859;17.663;17.591;0.701;0.699;0.696;0.685;0.181;0.183;0.179;0.170;75.156;75.507;73.178;76.003
17.333;16.911;16.755;16.501;16.521;0.700;0.698;0.696;0.692;0.169;0.171;0.167;0.162;65.247;65.630;63.489;68.125
17.500;15.668;15.519;15.311;15.319;0.699;0.697;0.695;0.695;0.156;0.158;0.154;0.152;55.901;56.184;54.303;59.343
17.667;14.411;14.278;14.045;14.013;0.698;0.696;0.695;0.695;0.143;0.145;0.141;0.141;46.725;47.007;45.499;49.936
17.833;13.070;12.948;12.757;12.619;0.697;0.695;0.694;0.694;0.129;0.131;0.127;0.130;38.126;38.274;37.052;40.334
18.000;11.677;11.572;11.390;11.150;0.696;0.694;0.693;0.694;0.115;0.117;0.113;0.117;30.108;30.247;29.546;31.137
18.167;10.207;10.115;9.984;9.619;0.695;0.694;0.693;0.693;0.101;0.103;0.099;0.104;22.577;22.593;22.575;22.997
18.333;8.682;8.609;8.526;8.042;0.693;0.693;0.692;0.692;0.086;0.087;0.085;0.090;16.182;16.201;16.207;16.112
18.500;7.058;7.001;6.985;6.432;0.692;0.692;0.691;0.691;0.071;0.072;0.070;0.075;10.147;10.096;11.041;10.543
18.667;5.381;5.342;5.385;4.804;0.691;0.691;0.690;0.690;0.056;0.056;0.055;0.060;5.880;5.850;6.473;6.193
18.833;3.627;3.606;3.703;3.173;0.690;0.690;0.690;0.690;0.041;0.041;0.040;0.044;1.896;1.860;2.892;2.878
19.000;1.797;1.790;1.906;1.553;0.690;0.690;0.690;0.690;0.025;0.025;0.025;0.027;0.303;0.286;0.460;0.393
19.167;0.000;0.000;0.000;0.000;0.696;0.696;0.696;0.696;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
19.333;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
19.500;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
19.667;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
19.833;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
20.000;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
20.167;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
20.333;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
20.500;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
20.667;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
20.833;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
21.000;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
21.167;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
21.333;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
21.500;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
21.667;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
21.833;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
22.000;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
22.167;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
22.333;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
22.500;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
22.667;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
22.833;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
23.000;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
23.167;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
23.333;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
23.500;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
23.667;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
23.833;0.000;0.000;0.000;0.000;0.711;0.711;0.711;0.711;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000
